TV,Radio,Social Media,Influencer,Sales
Medium,20.73115242,2.60083973,Macro,219.2762729
Medium,13.78266234,0.176731945,Macro,164.256028
Medium,33.62209115,6.804494005,Mega,240.3518467
Medium,29.59440206,8.243715012,Nano,246.091519
Low,10.15692231,2.584043071,Macro,51.48248853
High,28.71579999,6.852004197,Nano,278.8508346
High,30.35054482,5.230125086,Nano,260.2383199
Medium,17.54913506,3.5932496,Nano,166.1240988
High,32.16505613,5.313501318,Mega,299.831784
Medium,14.65663336,3.817979653,Micro,191.5212661
High,28.11017133,7.3581693,Mega,297.6267313
Medium,11.40108428,5.818696764,Nano,145.4168513
Medium,21.11999146,5.703028235,Macro,209.3268298
Low,13.22123736,3.660566126,Micro,135.7731514
